lat,lon,psi
31.103, 168.32, 0
31.25, 168.43, 0
31.398, 168.55, 0
31.545, 168.66, 0
31.693, 168.78, 0
31.84, 168.89, 0
31.987, 169.01, 0
32.135, 169.13, 0
32.282, 169.24, 0
32.43, 169.36, 0
32.577, 169.48, 0
32.725, 169.6, 0
32.872, 169.72, 0
33.02, 169.84, 0
33.167, 169.97, 0
33.315, 170.09, 0
33.462, 170.21, 0
33.61, 170.34, 0
33.757, 170.46, 0
33.904, 170.59, 0
34.051, 170.71, 0
34.199, 170.84, 0
34.346, 170.97, 0
34.493, 171.1, 0
34.64, 171.23, 0
34.787, 171.36, 0
34.934, 171.49, 0
35.081, 171.62, 0
35.228, 171.76, 0
35.375, 171.89, 0
35.522, 172.03, 0
35.668, 172.16, 0
35.815, 172.3, 0
35.961, 172.44, 0
36.108, 172.58, 0
36.254, 172.71, 0
36.4, 172.85, 0
36.547, 173, 0
36.693, 173.14, 0
36.839, 173.28, 0
36.984, 173.42, 0
37.13, 173.57, 0
37.276, 173.71, 0
37.421, 173.86, 0
37.567, 174.01, 0
37.712, 174.16, 0
37.857, 174.31, 0
38.002, 174.46, 0
38.147, 174.61, 0
38.292, 174.76, 0
38.436, 174.91, 0
38.581, 175.07, 0
38.725, 175.22, 0
38.869, 175.38, 0
39.013, 175.54, 0
39.157, 175.69, 0
39.3, 175.85, 0
39.444, 176.01, 0
39.587, 176.17, 0
39.73, 176.34, 0
39.873, 176.5, 0
40.015, 176.66, 0
40.158, 176.83, 0
40.3, 177, 0
40.442, 177.16, 0
40.584, 177.33, 0
40.725, 177.5, 0
40.867, 177.67, 0
41.008, 177.85, 0
41.149, 178.02, 0
41.289, 178.19, 0
41.429, 178.37, 0
41.57, 178.55, 0
41.709, 178.72, 0
41.849, 178.9, 0
41.988, 179.08, 0
42.127, 179.26, 0
42.266, 179.45, 0
42.405, 179.63, 0
42.543, 179.81, 0
42.681, -180, 0
42.818, -179.81, 0
42.955, -179.62, 0
43.092, -179.43, 0
43.229, -179.24, 0
43.365, -179.05, 0
43.501, -178.86, 0
43.637, -178.66, 0
43.772, -178.47, 0
43.907, -178.27, 0
44.041, -178.07, 0
44.175, -177.87, 0
44.309, -177.67, 0
44.442, -177.47, 0
44.575, -177.26, 0
44.708, -177.06, 0
44.84, -176.85, 0
44.972, -176.65, 0
45.103, -176.44, 0
45.234, -176.23, 0
45.365, -176.01, 0
45.495, -175.8, 0
45.624, -175.59, 0
45.754, -175.37, 0
45.882, -175.15, 0
46.011, -174.93, 0
46.138, -174.71, 0
46.266, -174.49, 0
46.392, -174.27, 0
46.519, -174.04, 0
46.645, -173.82, 0
46.77, -173.59, 0
46.895, -173.36, 0
47.019, -173.13, 0
47.143, -172.9, 0
47.266, -172.67, 0
47.388, -172.43, 0
47.511, -172.2, 0
47.632, -171.96, 0
47.753, -171.72, 0
47.873, -171.48, 0
47.993, -171.24, 0
48.112, -170.99, 0
48.231, -170.75, 0
48.349, -170.5, 0
48.466, -170.25, 0
48.583, -170, 0
48.699, -169.75, 0
48.814, -169.5, 0
48.929, -169.25, 0
49.043, -168.99, 0
49.156, -168.73, 0
49.269, -168.47, 0
49.381, -168.21, 0
49.492, -167.95, 0
49.603, -167.69, 0
49.713, -167.42, 0
49.822, -167.16, 0
49.931, -166.89, 0
50.038, -166.62, 0
50.145, -166.35, 0
50.251, -166.07, 0
50.357, -165.8, 0
50.461, -165.52, 0
50.565, -165.24, 0
50.668, -164.97, 0
50.771, -164.68, 0
50.872, -164.4, 0
50.973, -164.12, 0
51.072, -163.83, 0
51.171, -163.55, 0
51.269, -163.26, 0
51.367, -162.97, 0
51.463, -162.67, 0
51.558, -162.38, 0
51.653, -162.09, 0
51.747, -161.79, 0
51.839, -161.49, 0
51.931, -161.19, 0
52.022, -160.89, 0
52.112, -160.59, 0
52.201, -160.28, 0
52.289, -159.98, 0
52.376, -159.67, 0
52.463, -159.36, 0
52.548, -159.05, 0
52.632, -158.74, 0
52.715, -158.42, 0
52.797, -158.11, 0
52.878, -157.79, 0
52.959, -157.47, 0
53.038, -157.15, 0
53.116, -156.83, 0
53.193, -156.51, 0
53.269, -156.19, 0
53.344, -155.86, 0
53.417, -155.54, 0
53.49, -155.21, 0
53.562, -154.88, 0
